ABATEMENT LOCATION
ABORTION CLINIC/ABORTION FACILITY*
APARTMENT/CONDO COMMON LAUNDRY ROOM
BALCONY*
BUS, SCHOOL, CHURCH
BUS-CHARTER/PRIVATE
CHEMICAL STORAGE/MANUFACTURING PLANT
COLLEGE/JUNIOR COLLEGE/UNIVERSITY
CONDOMINIUM/TOWNHOUSE
CONSTRUCTION SITE
CONVENTION CENTER
CYBERSPACE
DAM/RESERVOIR
DAY CARE/ADULTS*
DAY CARE/CHILDREN*
DEPARTMENT STORE
DEPT OF DEFENSE FACILITY
DETENTION/JAIL FACILITY
DIY CENTER (LOWE'S,HOME DEPOT,OSH,CONTRACTORS WAREHOUSE)
ELEMENTARY SCHOOL
ENERGY PLANT/FACILITY
FACTORY
FINANCE COMPANY
FIRE STATION
FOSTER HOME BOYS OR GIRLS*
FRAT HOUSE/SORORITY/DORMITORY
GARMENT MANUFACTURER
GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)
GROUP HOME
HARDWARE/BUILDING SUPPLY
HIGH-RISE BUILDING
HOSPICE
HOSPITAL
JUNIOR HIGH SCHOOL
MAIL BOX
MANUFACTURING COMPANY
MEDICAL MARIJUANA FACILITIES/BUSINESSES
MEDICAL/DENTAL OFFICES
MEMBERSHIP STORE (COSTCO,SAMS CLUB)*
METHADONE CLINIC
MISSIONS/SHELTERS
MOBILE HOME/TRAILERS/CONSTRUCTION TRAILERS/RV'S/MOTORHOME
MORTUARY
MTA PROPERTY OR PARKING LOT
MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)
NUCLEAR FACILITY
NURSING/CONVALESCENT/RETIREMENT HOME
OFFICE BUILDING/OFFICE
OIL REFINERY
OTHER BUSINESS
OTHER PREMISE
OTHER RESIDENCE
PATIO*
POLICE FACILITY
PORCH, RESIDENTIAL
PRIVATE SCHOOL/PRESCHOOL
PROJECT/TENEMENT/PUBLIC HOUSING
PUBLIC STORAGE
RECYCLING CENTER
RETIRED (DUPLICATE) DO NOT USE THIS CODE
SAVINGS & LOAN
SEWAGE FACILITY/PIPE
SHORT-TERM VACATION RENTAL
SINGLE FAMILY DWELLING
SINGLE RESIDENCE OCCUPANCY (SRO'S) LOCATIONS 'AMUSEMENT PARK*
SPECIALTY SCHOOL/OTHER
STAIRWELL*
STORAGE SHED
STUDIO (FILM/PHOTOGRAPHIC/MUSIC)
TACTICAL SIGNIFICANCE
TELECOMMUNICATION FACILITY/LOCATION
TOOL SHED*
TRADE SCHOOL (MEDICAL-TECHNICAL-BUSINESS)*
TRANSIENT ENCAMPMENT
TRANSITIONAL HOUSING/HALFWAY HOUSE
TRASH CAN/TRASH DUMPSTER
TRUCK, COMMERICAL
VETERINARIAN/ANIMAL HOSPITAL
VISION CARE FACILITY*
WATER FACILITY
WEBSITE
YARD (RESIDENTIAL/BUSINESS)
HIGH SCHOOL
