DOCUMENT FORGERY / STOLEN FELONY
BATTERY POLICE (SIMPLE)
LETTERS, LEWD  -  TELEPHONE CALLS, LEWD
BUNCO, GRAND THEFT
DEFRAUDING INNKEEPER/THEFT OF SERVICES, $400 & UNDER
ARSON
DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $400
BUNCO, PETTY THEFT
THREATENING PHONE CALLS/LETTERS
CRUELTY TO ANIMALS
RESISTING ARREST
THEFT, COIN MACHINE - PETTY ($950 & UNDER)
BUNCO, ATTEMPT
FALSE POLICE REPORT
DRIVING WITHOUT OWNER CONSENT (DWOC)
BATTERY ON A FIREFIGHTER
DISHONEST EMPLOYEE - GRAND THEFT
UNAUTHORIZED COMPUTER ACCESS
CHILD ABANDONMENT
DISHONEST EMPLOYEE - PETTY THEFT
DOCUMENT WORTHLESS ($200.01 & OVER)
CONSPIRACY
THEFT, COIN MACHINE - GRAND ($950.01 & OVER)
DISRUPT SCHOOL
DOCUMENT WORTHLESS ($200 & UNDER)
THEFT, COIN MACHINE - ATTEMPT
ABORTION/ILLEGAL
DISHONEST EMPLOYEE ATTEMPTED THEFT
INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES)
BIGAMY
TRAIN WRECKING
FIREARMS RESTRAINING ORDER (FIREARMS RO)
VIOLATION OF COURT ORDER
CONTEMPT OF COURT
VIOLATION OF RESTRAINING ORDER
VIOLATION OF TEMPORARY RESTRAINING ORDER
